Word,Part of Speech,Meaning,Example (Wolaytta),Example (English)
azzaniya,adjective,"huge; large; fat; massive; big; great; tall; awesome%
(syn) [wogga, gita, xawulle, bambballooma, gagate, gagisa, maagula, axxo, axuma,
dada, zeekeele, xeere, xeeppula, xeeppo, anuufa, anuca, xaane, xawudala, manne, 
geere, xekese, xoyllo, tennejja, yaakula, xettemere, yam''araara, axuure, 
xankkula, teebuxa, yambbulla, bobboxaama, bam''ula, ananoote, baadoochche, 
dawulla, ga'usha, abuulla, yambbareessa, anuuca, banne, gachchaama, moydore, 
tuqa, xul''eebba, ban''a, ordde, tonne, xambbalaqa, dalbba, sannaca, 
xaamoochche, xalbbuqa, naanno, wolqqaama, deexo]",,
baabisuwa,noun,"fright; terrorism; startling; intimidation; warning%(syn) 
[yashissuwa, hooranssuwa, daganttuwa, ye''e guussaa, kaachchafatuwa.]",,
baaburiya,noun,train; rail%,,
baaburiya,noun,a machine for grinding grain,,
baaddiqeechchama,adjective,"strong, not submissive (of men)%(syn) [mino, 
gurjjumma, shuchcha.]",,
baadettaa,noun,"seeking%(syn) [qaagettaa, koshshaa, qaaqqaasettaa.]",,
baadoochche,adjective,"big; great; huge; massive; large; tall; awesome%(syn)
[wogga , gita , xawulle, bambballooma, gagate, gagisa, maagula, axxo, axuma, 
dada, zeekeele, xeere, xeeppula, xeeppo, anuufa, anuca, xaane, xawudala, manne, 
geere, xekese, xoyllo, tennejja, yaakula, baa'ula, xettemere, yam''araara, 
axuure, xankkula, teebuxa, yambbulla, bobboxaama, bam''ula, ananoote, dawulla, 
ga'usha, abuulla, yambbareessa, anuuca, banne, gachchaama, moydore, tuqa, 
xul''eebba, ban''a, ordde, tonne, xambbalaqa, dalbba, sannaca, xaamoochche, 
xalbbuqa, naanno, wolqqaama, deexo.]
baakko dafuwa%1. noun%",,
baadoochche,adjective,attraction%,,
baadoochche,adjective,gravity,,
baaluwa,noun,"luxury; comfort; abundance%(syn) [injjiya, munaasaa, ishaluwa,
hiraa, banqqaa, danaqaa, bakkaa.]",,
baanaa,noun,"dust; soil%(syn) [buhiya, sophphiya, saphaniya.]",,
baarigaara,adjective,"adversary; hostile; antagonistic%(syn) [morkke, 
ayfenne akkirssa, diina.]",,
babaa,pronoun,his; hers%,,
babaa,pronoun,"about himself, about herself",,
babbenna,adjective,"courageous; brave; plucky; valorous; audacious; 
mettlesome; clever; adroit; smart; skillful%(syn) [qexe geenna, yayyenna, gooba,
mino, gaammo, buuxanne geenna.]",,
badama,noun,"foe; adversary; Satan%(syn) [baarigaaraa, eqettiyagaa, 
morkkiya, diinaa, ixuwa.]",,
bagaa,noun,"friend, partner (for ill acts)%(syn) [laggiya, jaalaa, loogo 
jaalaa.]",,
bakkaa,noun,"comfort; abundance; luxury%(syn) [injjiya, munaasaa, ishaluwa, 
baaluwa, hiraa, banqqaa, danaqaa.]",,
bakkaaliya,noun,morning star%(syn) [maallado xoolinttiya.],,
balanchcha,adjective,"faulty; guilty%(syn) [wogabala, mooranchcha.]",,
baliya,noun,"funeral, burial, day for mourning%(syn) [mooguwa.]
bam''ula%1. adjective%",,
baliya,noun,"big; great; huge; massive; large; tall; awesome%(syn) 
[wogga, gita, xawulle, bambballooma, gagate, gagisa, maagula, axxo, axuma, dada,
zeekeele, xeere, xeeppula, xeeppo, anuufa, anuca, xaane, xawudala, manne, geere,
xekese, xoyllo, tennejja, yaakula, baa'ula, xettemere, yam''araara, axuure, 
xankkula, teebuxa, yambbulla, bobboxaama, ananoote, baadoochche, dawulla, 
ga'usha, abuulla, yambbareessa, anuuca, banne, gachchaama, moydore, tuqa, 
xul''eebba, ban''a, ordde, tonne, xambbalaqa, dalbba, sannaca, xaamoochche, 
xalbbuqa, naanno, wolqqaama, deexo.]
ban''a%1. adjective%",,
baliya,noun,"huge; big; great; massive; large; tall; awesome%(syn) 
[wogga, gita, xawulle, bambballooma, gagate, gagisa, maagula, axxo, axuma, dada,
zeekeele, xeere, xeeppula, xeeppo, anuufa, anuca, xaane, xawudala, manne, geere,
xekese, xoyllo, tennejja, yaakula, baa'ula, xettemere, yam''araara, axuure, 
xankkula, teebuxa, yambbulla, bobboxaama, bam''ula, ananoote, baadoochche, 
dawulla, ga'usha, abuulla, yambbareessa, anuuca, banne, gachchaama, moydore, 
tuqa, xul''eebba, ordde, tonne, xambbalaqa, dalbba, sannaca, xaamoochche, 
xalbbuqa, naanno, wolqqaama, deexo.]
bana ba''iis%1. intransitive verb%",,
baliya,noun,"be profitable, surplus, excess (double 
profit from the capital)%(syn) [wodhdhiis.]
bana danddayenna%1. adjective%",,
baliya,noun,dependent%(syn) [sheephe.],,
bandduwa,noun,spoilt skin (on the thigh)%,,
bandduwa,noun,"dirt, unclean substance",,
banne,adjective,"huge; big; great; massive; large; awesome%(syn) [wogga, 
gita, xawulle, bambballooma, gagate, gagisa, maagula, axxo, axuma, dada, 
zeekeele, xeere, xeeppula, xeeppo, anuufa, anuca, xaane, xawudala, manne, geere,
xekese, xoyllo, tennejja, yaakula, baa'ula, xettemere, yam''araara, axuure, 
xankkula, teebuxa, yambbulla, bobboxaama, bam''ula, ananoote, baadoochche, 
dawulla, ga'usha, abuulla, yambbareessa, anuuca, gachchaama, moydore, tuqa, 
xul''eebba, ban''a, ordde, tonne, xambbalaqa, dalbba, sannaca, xaamoochche, 
xalbbuqa, naanno, wolqqaama, deexo.]",,
banqqa,adjective,comfortable; suitable; prosperous; convenient; wellto-do;,,
banqqaa,noun,"comfort; abundance; luxury%(syn) [injjiya, munaasaa, ishaluwa,
baaluwa, hiraa, danaqaa, bakkaa.]",,
baqe,adjective,"clear; obvious; open; public%(syn) [telxxexxa, qoncce.]
baqqi oyqettaa%1. noun%",,
baqe,adjective,"clinging; persistence%(syn) [baxuuxuwa, baxuuxi 
oyqettaa, shukuluulettaa, kutuutuwa.]
baqqi oyqqiis%1. transitive verb%",,
baqe,adjective,"cling, hold firmly%(syn) [baxuuxiis, baxuuxi 
oykkiis, baxuuxi oyqqiis, shukuluuliis.]",,
Baraataa,noun,November%(syn) [Hidaariya.],,
barggaagettaa,noun,alarming; startling; stunning; frightening; shocking;,,
bariya,noun,"age, life span, expected length of life%(syn) [yeleta layttaa, 
layttaa.]",,
bashsha,adjective,"ruined; crumbling; invalid; destroyable; destructible%
(syn) [xayso, dontta, mogola.]",,
bashshaa,noun,destruction%,,
bashshaa,noun,"disaster, refers to a natural or supernatural 
event in which many people die",,
bashuwa,noun,"sabotage; ruin; destroying; invalidation; nullity%(syn) 
[hurxxu oosuwa, donttuwa, daafettaa, mogolettaa, dippi ootuwa, surxxu ootettaa, 
qeexuwa, wurssuwa.]",,
baxuuxa,adjective,"clingy; persistent%(syn) [baxuuxi oyqqiya.]
baxuuxi oyqettaa%1. noun%",,
baxuuxa,adjective,"clinging; persistence%(syn) [baxuuxuwa, baqqi 
oyqettaa, shukuluulettaa, kutuutuwa.]
baxuuxi oyqqiis%1. transitive verb%",,
baxuuxa,adjective,"cling; persist%(syn) [baxuuxiis, baxuuxi 
oykkiis, shukuluuliis, baqqi oyqqiis.]",,
baxuuxuwa,noun,"clinging; persistence%(syn) [baqqi oyqettaa, baxuuxi 
oyqettaa, shukuluulettaa, kutuutuwa.]",,
baylibaylaa,noun,"vacillation; inconstancy; unfaithfulness; fluctuation%
(syn) [tayliwattatettaa, taylitappatettaa.]",,
qofaa,noun,"theme, main idea, principle%(syn) [kane qofaa, kuushsha 
qofaa, ano qofaa.]",,
bayzziyagaa,noun,seller; vendor%,,
bayzziyagaa,noun,"deceiver
bazzoy zo'iis%1. intransitive verb%",,
bayzziyagaa,noun,"be morning, dawn%(syn) [barjjiis, wonttiis,
geeyyiis.]",,
bazzuwa,noun,"forest, jungle, thickly covered place with trees%",,
bazzuwa,noun,"desert; 
wilderness; barren
be'iyagaa%1. noun%",,
bazzuwa,noun,observer; watcher%(syn) [xomoosiyagaa.],,
beqeqqa,adjective,abnormally big sized (of head)%(syn) [beqete.],,
beqete,noun,unproportionally bigheaded%(syn) [beqeqqa.],,
bichchaarettaa,noun,"haste; rush; pace; hurry; speed; uproar%(syn) [bogiya, 
dirbbaa, eesuwa, kiirikiiraa, kitikittuwa, jaakirettaa, jaamaa, dibilaa, 
kiirinttaa, seturettaa.]",,
biddanchchaa,noun,:,,
biddanchchaa,noun,"chatterer; chatterbox%(syn) [kijajiya, kiraaraa, 
wokiikaa, haasayanchchaa, kilttaachchaa.]",,
biiribiira,adjective,"fidgety; restless; edgy; overactive%(syn) [dirbbiya, 
tamaa eexxiya, boge, eeso, kiirimmiya, dirbba, kitikitiya, jiirijiira, 
kuyrikuyra, biixibiixa, hatattaama, bol""o.]
biittaa conchchuwa%1. noun%",,
biiribiira,adjective,"lash; hit; stroke; blow; whip; beat; fistfight%
(syn) [buhaa, waraa, shochchaa, udulettaa, kanaa mizuwa, hariya henttuwa, 
biittaa mizuwa.]
biittaa gattiis%1. transitive verb%",,
biiribiira,adjective,"distribute; scatter; disperse; spread%(syn)
[laaliis, piskki oottiis, piskkayiis, tiskkayiis, tiskki oottiis, biittaa sa'aa 
gattiis, toskkayiis, poskkayiis.]
biittaa goggiis%1. intransitive verb%",,
biiribiira,adjective,"be cruel, be ruthless, be brutal%(syn) 
[paliis, iitiis, maracciya worddotiis, zokkuwa zaariis, wozanaa shuchchattiis, 
qayyiis.]
biittaa goggiya%1. adjective%",,
biiribiira,adjective,"cruel; ruthless; brutal; inhumane%(syn) [iita, 
meqetti baynna, suutti baynna, pala, aggaaga iita, meqettaa iita, bodoojje, aja,
oso, ajaajje, hanccaama, maracciya iita, maracciya worddo, wozanaa shuchcha, 
hanttaara, qareti baynna, kehatetti baynna.]
biittaa meegaa%1. noun%",,
biiribiira,adjective,"latitude, an imaginary line joining points on Earth's 
surface that are all of equal distance north or south of the equator%(syn) 
[laatitiwudiya, goppe yafaraa.]
biittaa mizuwa%1. noun%",,
biiribiira,adjective,"lash; hit; stroke; blow; whip; beat; fistfight%(syn) 
[buhaa, waraa, shochchaa, udulettaa, kanaa mizuwa, hariya henttuwa, biittaa 
conchchuwa.]
biittaa sa'aa gattiis%1. transitive verb%",,
biiribiira,adjective,"distribute; scatter; disperse; spread
%(syn) [laaliis, piskki oottiis, piskkayiis, tiskkayiis, tiskki oottiis, biittaa
gattiis, toskkayiis, poskkayiis.]
biittaa shammiis%1. transitive verb%",,
biiribiira,adjective,"fall to the ground%(syn) [huuphe gediyan 
eqqiis, kunddiis, bolqqu giis, wulliis, xinggimaaliis, xul''u giis, oydday 
canggaraariis.]
biittaa xeelliis%1. intransitive verb%",,
biiribiira,adjective,"be ashamed, become humiliated, become",,
gelissuwa,noun,"belittlement; ignominiousness; shame; disgrace; 
disrespect; insult%(syn) [gùùtuwa, cashshaa, gatiya qaaruwa, goyrettaa.]
biittawu ashkke%1. interjection%",,
gelissuwa,noun,"woe; alas(an expression of distress)%(syn) 
[aabboo'ana, aayyee'ana, aayyee, hayttay kehaa siyo, hayttawu kare.]",,
bijaamaa,noun,pajamas%(syn) [danddiya.],,
bikkaa,noun,"cane; stick%(syn) [gaalluwa, dullaa, koxiya, cuguwa, xarbbaa, 
duttaa].",,
binjjibinjja,adjective,"fidgety%(syn) [miiqimiiqa, tiicitiica, ho''o, 
seexiseexa, waaqiwaaqa.]",,
bira,adjective,"chief; important; main%(syn) waanna, baaso, kane, kuushsha, 
denddo, gul''a qofaa, kulkka, ayfe.]",,
biradhdhettaa,noun,pointing out%(syn) [malaatuwa.],,
birassuwa,noun,mating; copulation%(syn) [xaaluwa.],,
birddilibisiya,noun,blanket%(syn) [birddibillisiya.],,
bishino,noun,"black, solid black, extremely black%(syn) [dum''a, dulkka, 
karetta, tambbo, cachcho.]
biskki geettaa%1. noun%",,
bishino,noun,"death%(syn) [billi geettaa.]
biskki giis%1. intransitive verb%",,
bishino,noun,die immediately%(syn) [billi giis.],,
bitaa,noun,"occult, a form of witchcraft whereby a person in secret leaves 
something at someone's home/compound to cause them ill fortune%(syn) [murunnuwa,
masuusaa, gojaa.]",,
bixaa,noun,"hardship; misery; disaster; suffering; distress; trouble%(syn) 
[kirqqaa, leelaa, tuggaa, barchchiya, metuwa, tuggaa besuwa, qiphettaa, waysuwa,
tiraara qixxi geettaa, tiraara sitti geettaa, waayiya.]
bixe lagge%1. adjective%",,
bixaa,noun,"equal (of the same age)%(syn) [lagge, mala, keena, 
issuwa, malatiya, hare haytta, issi mala.]
biyosaa yiyosaa diggiis%1. transitive verb%",,
bixaa,noun,"ask; urge; insist; nag%(syn) 
[toolliis, hayriis, boggiis, dirbbanttiis, eesoyiis, harddiis, wozanaa 
bashshiis, toliis, siiphphuwa teqqiis, iisettiis, un''ettiis, tokkiis, xibbuwan 
tucciis.]
biz""ettaa%1. noun%",,
bixaa,noun,"sting, sharp pain%(syn) [xossaa, cadaa, zeelumettaa, 
pinccaamettaa, ziimettaa.]
biz''iis%1. intransitive verb%",,
bixaa,noun,"smart; sting; cause pain%(syn) [zeelummiis, 
salqqi giis.]",,
bizhggamaa,noun,"alarm; startling; stunning; fright; shock%(syn) 
[barggaagettaa, dozhggu geettaa, waabbaqettaa, bobaraa, babettaa.]",,
Bizzaa,noun,Friday%(syn) [Arbba.],,
bobaraa,noun,"alarm; startling; stunning; fright; shock%(syn) 
[barggaagettaa, bizhggamaa, dozhggu geettaa, waabbaqettaa, babettaa.]",,
bobboxaama,adjective,"big, tall and big in size (of men or animals)%(syn) 
[wogga, gita, xawulle, bambballooma, gagate, gagisa, maagula, axxo, axuma, dada,
zeekeele, xeere, xeeppula, xeeppo, anuufa, anuca, xaane, xawudala, manne, geere,
xekese, xoyllo, tennejja, yaakula, baa'ula, xettemere, yam''araara, axuure, 
xankkula, teebuxa, yambbulla, bam''ula, ananoote, baadoochche, dawulla, ga'usha,
abuulla, yambbareessa, anuuca, banne, gachchaama, moydore, tuqa, xul''eebba, 
ban''a, ordde, tonne, xambbalaqa, dalbba, sannaca, xaamoochche, xalbbuqa, 
naanno, wolqqaama, deexo.]",,
bodoojje,adjective,fierce; moody; hostile; bad-tempered; irritable;,,
boge,adjective,"quick; fast; hasty; restless; busy%(syn) [dirbbiya, tamaa 
eexxiya, eeso, kiirimmiya, dirbba, kitikitiya, jiirijiira, kuyrikuyra, 
biixibiixa, biiribiira, hatattaama, bol""o.]",,
boggiyagaa,noun,"bandit; robber; gangster; kidnapper%(syn) [panggaa, 
jawussaa, bonqqiyagaa, shittaa.]
bolaaliya (bolboliya)%1. noun%",,
boggiyagaa,noun,"trousers; pants; slacks%(syn) [suriya.]
bolqqu geettaa%1. noun%",,
boggiyagaa,noun,"collapse; fall; downfall%(syn) [worettaa, wulettaa, 
kunddettaa, xinggimaalettaa.]
bolqqu oottiis%1. transitive verb%",,
boggiyagaa,noun,"bring down, fell, collapse%(syn) [onggiis, 
tushulu oottiis.]",,
boncco,adjective,"leafy%(syn) [tashe.]
bonqqettaa (bonqqaa)%1. noun%",,
boncco,adjective,"robbery; plunder; loot%(syn) [bogiya.]
bonqqiyagaa (bonqqanchchaa)%1. noun%",,
boncco,adjective,"bandit; robber; gangster;burglar; pillager;
mugger;culprit; vandal; gang%(syn) [boggiyagaa, panggaa, jawussaa, shittaa.]
bonqquwan duriis%1. intransitive verb%",,
boncco,adjective,"have compassion, have pity, sympathize%
(syn) [masunxxiis, kayyottiis, azzaniis.]
booddi laaliis%1. transitive verb%",,
boncco,adjective,"aggravate; inflame; provoke; offend; anger; 
irritate; fluster%(syn) [kaashi laaliis, yiilloyiis, cabbuwa kessiis.]",,
boohuwa,noun,ditch; trench%,,
boohuwa,noun,"fortress
bookki pilggettaa%1. noun%",,
boohuwa,noun,archeology%(syn) [arkkooloojiya.],,
boorasaa,noun,"a plot of land that a team of oxen can plow in one day%(syn) 
[waaxa biittaa.]",,
boossuwa,noun,elevation; respect; honor; glory; veneration; reverence;,,
boqoso,adjective,"shameful%(syn) [bala, mooro, pokko, borsso.]",,
boqosuwa,noun,being shameful%(syn) [borssuwa.],,
borettiya,adjective,criticizable%(syn) [mirqqiiqa.],,
boriya,noun,criticism; reproach%,,
boriya,noun,rejection,,
borkkotaa,noun,pillow; headrest%(syn) [tiraasiya.],,
boroshsha,adjective,"broken, flawed (pottery, teeth, gourd)%(syn) [senkko, 
selembbo.]",,
borsso,adjective,"shameful%(syn) [bala, mooro, pokko1, boqoso.]",,
borssuwa,noun,"shame, impolite deed%(syn) [boqosuwa.]
borxxoxxa (barxxaxxa)%1. adjective%",,
borssuwa,noun,wideeyed; round-eyed%(syn) [molle.],,
boyyiya,noun,cassava%(syn) [cayyiya.],,
bubbuxuwa,noun,cubit%,,
bubbuxuwa,noun,"punch, boxing (the sport of fighting with a fist)",,
buddeenaa,noun,pan-baked dough (of 'teff')%,,
buddeenaa,noun,occupation; salary,,
buhiya,noun,"dust, loose soil%(syn) [baanaa, sophphiya, saphaniya.]
buhu giis%1. intransitive verb%",,
buhiya,noun,bark%(syn) [bocciis.],,
bukaa,noun,"bud, unopened flower%(syn) [gumbbuwa.]",,
bukeessuwa,noun,"thin dough (which is ready to be baked)%(syn) [munaqaa.]
bul""iya%1. noun%",,
bukeessuwa,noun,"hoeing; weeding%(syn) [harumaa, kiishettaa.]",,
bulla,adjective,"gray, grey (animal's color)%(syn) [gaammo mera.]",,
bullaala,adjective,ashen; pale%(syn) [booddila.],,
bunkkiya,noun,"testis, male reproductive gland%(syn) [kaattaa, shorofaa, 
shaaruwa.]",,
bunssuqa,adjective,"spoilt; dirty%(syn) [urqqa, qita, muuruqa, biitta, 
geeyyenna, sibba.]",,
bunuquuqa,adjective,"untidy; messy%(syn) [muuruqa, tiniqiiqa, carqqa, 
masudhdha, maadhdho, curqquqqa, wa''a1.]",,
keettaa,noun,"store; warehouse; storage; storehouse%(syn) 
[ginjjaabeetiya.]",,
buraaqettaa,noun,gambol; skip%(syn) [buraassaa.],,
buraassaa,noun,"gambol, skip (of young animals)%(syn) [buraaqettaa.]",,
burcce,noun,"small pieces%(syn) [hurbbubba, burttakeeno.]",,
burccukkuwa,noun,glass%(syn) [wanccaa.],,
burkkukka,adjective,fat; thick; chubby; obese; flabby%,,
burkkukka,adjective,short; fat,,
burttakeeno,adjective,"piece; wee; lesser; slender; minute; tiny; 
diminutive; petite%(syn) [unggaa'unggo, shushara, burcce, suuppa, ufuuppune, 
hurbbubba.]",,
burttakeeno,adjective,"small and several, small in size and several in",,
burxxettaa,noun,squishing; squeezing; smashing; jamming%(syn) [tirxxettaa.],,
busxxaa,noun,"wanderer, one who travels without destination%(syn) 
[yuushshanchchaa.]
butaa %1. noun%",,
busxxaa,noun,"empty place, bare place%(syn) [baysa, buta sohuwa, asi 
baynnasaa.]",,
butiya,noun,"grind, crushing grains into small pieces for the first round%
(syn) [harxxetta.]",,
geenna,adjective,"courageous; plucky; valorous; audacious; 
mettlesome; clever; brave; adroit; smart; skillful%(syn) [qexe geenna, yayyenna,
gooba, mino, gaammo, babbenna.]",,
cachchaa,noun,estimation%(syn) [gimmitiya],,
cachcho,adjective,"sable, very black %(syn) [dum''a, dulkka, karetta, 
tambbo, bishino]",,
cachchuwa,noun,"tobacco (spoilt, not fresh) %(syn) [tambbuwa]
caddi oyqqiis%1. transitive verb%",,
cachchuwa,noun,"insist, to state or demand something firmly 
in spite of disagreement %(syn) [midiidiis, mintti haasayiis, xonon''iis]",,
caddiya,adjective,"stinging; painful %(syn) [xoggiya, biz''iya, pinccaama, 
ziimmiya, zeelummiya]",,
cahaa,noun,mowing %,,
cahaa,noun,harvest; reaping,,
canna,adjective,"comfortable; abundant; plentiful; luxurious %(syn) [hira, 
injje, ishalo, baalo, munaasa , danaqa, ushachcha, worqqa, irkko, sarqqa, 
banqqa, oyssa, tonoqa]",,
carqqiya,noun,cloth %(syn) [maayuwa],,
cashkkiriya,noun,"raindrop (that enters home through window holes) %(syn) 
[pozggiya]",,
cayyiya,noun,cassava (used for planting a new one) %(syn) [boyyiya],,
cebbaa,noun,"valley %(syn) [wombbaa, dilbbaa, gisaa, shoobbaa]",,
cecettaa,noun,contribution %(syn) [peeriya],,
ceegatettaa,noun,"oldness, old age %(syn) [cimatettaa]",,
ceeggida,adjective,"old; aged; exhausted %(syn) [hitida, humppa, nippi 
giida]",,
cenggereeruwa,noun,sudden death %(syn) [hayquwa],,
charkkiya,noun,wheel %,,
charkkiya,noun,barefoot,,
chii,interjection,"no %(syn) [ixxisi, kashi, akkay, halluuti]",,
chiro,adjective,"short, very short %(syn) [kinddiichcho, qantta, dinkke, 
kuraachcho, durcca, duddumushe, duuxa]",,
cibibettaa,noun,"push %(syn) [yibidettaa, gaganttuwa]",,
ciciya,noun,"drizzle %(syn) [diifiya, danddiriya]",,
ciggaaraa,noun,"mist, fog %(syn) [gubbanaa, arkkuwa, gaappuwa]",,
